,given_word,choice1,choice2,choice3,choice4,choice5,correct_answer
535,poison,fancy,jump,invade,press,contaminate,contaminate
536,flash,preach,wink,imagine,believe,arm,wink
537,imply,live,allude,pressure,echo,grapple,allude
538,beat,correspond,document,abuse,excite,enter,abuse
539,work,awaken,toil,furl,squeeze,rewrite,toil
540,term,designate,diagnose,think,exonerate,criticize,designate
541,bound,charge,labor,paste,spring,give,spring
542,group,absolve,lump,streamline,formulate,change,lump
543,iron,press,discredit,absolve,discern,identify,press
544,support,alarm,dwell,quarrel,uplift,trim,uplift
545,caress,murmur,rub,combat,inhabit,mix,rub
546,tighten,constrict,imply,infect,wrap,see,constrict
547,breathe,toil,open,whisper,electrify,snoop,whisper
548,consist,attack,stun,comprise,frown,inquire,comprise
549,build,structure,arrange,export,pine,obliterate,structure
550,export,plan,offshore,decay,sound,alter,offshore
551,confer,curl,compare,see,consult,abdicate,consult
552,assume,adverse,blow,translate,construe,conclude,construe
553,explode,translate,inform,prime,boom,weaken,boom
554,carry,arm,alter,disallow,battle,cuddle,arm
555,prepare,place,make,admire,foist,formulate,make
556,contrast,mingle,dirty,group,distinguish,whisper,distinguish
557,close,explain,constrict,phrase,kill,plan,constrict
558,hop,flirt,spring,abuse,contrast,concentrate,spring
559,phrase,color,modify,comment,term,want,term
560,record,assume,fade,whack,dirty,tabulate,tabulate
561,time,compare,term,understand,flirt,nose,term
562,imagine,protect,boom,picture,toil,intrude,picture
563,shine,polish,form,relinquish,emasculate,devolve,polish
564,shine,reside,correct,polish,invade,expand,polish
565,edit,change,inspect,function,force,encourage,change
566,visit,name,deduce,bop,poison,tour,tour
567,lift,void,engrave,foist,gesture,see,foist
568,arm,spring,think,fortify,expound,smack,fortify
569,sign,enclose,reroute,live,rustle,ink,ink
570,correspond,dirty,consist,taint,break,confine,consist
571,show,whisper,power,zone,disclose,twinkle,disclose
572,stun,swat,date,electrify,energize,immobilize,immobilize
573,fragment,cascade,devolve,ruin,swat,accomplish,devolve
574,reject,excite,calculate,discredit,invalidate,throw,invalidate
575,amass,paste,assume,formulate,lump,calculate,lump
576,think,report,rise,disparity,chop,pontificate,pontificate
577,blast,struggle,chop,refocus,boom,expand,boom
578,spiral,stroke,wind,gather,declare,flat,wind
579,polish,fortify,believe,hone,spoil,streamline,hone
580,duplicate,invade,alarm,replicate,assess,see,replicate
581,solve,murder,diagnose,tally,cuddle,review,diagnose
582,produce,make,wrap,evidence,calculate,beat,make
583,exonerate,pardon,pain,raise,blast,dirty,pardon
584,end,amass,kill,lift,account,correct,kill
585,grow,inquire,mark,boom,rewrite,succeed,boom
586,decay,separate,join,sweep,fade,deteriorate,deteriorate
587,struggle,fade,toil,caress,ascertain,formulate,toil
588,inspire,pontificate,uplift,imagine,notify,divert,uplift
589,devolve,fan,castrate,transfer,paste,poison,transfer
590,flatten,record,lump,see,identify,iron,iron
591,disallow,refine,slay,invalidate,duplicate,document,invalidate
592,dance,resonate,air,brawl,bop,shape,bop
593,swell,tattoo,bulge,name,achieve,whisk,bulge
594,despoil,curl,arrive,contaminate,evade,gather,contaminate
595,cordon,ask,document,zone,intrude,assume,zone
596,swell,get,include,formulate,bulge,flash,bulge
597,charge,inhabit,kill,consult,bill,electrify,bill
598,fade,travel,raise,deteriorate,squash,grapple,deteriorate
599,translate,interpret,try,devolve,intrude,hit,interpret
600,roll,prime,furl,beat,stun,terminate,furl
601,bump,document,lump,sniff,amass,stroke,lump
602,contrast,rule,oppose,spin,touch,break,oppose
603,streamline,concentrate,elevate,excite,leap,caress,concentrate
604,review,critique,sum,name,swat,touch,critique
605,brawl,pressure,fuel,fight,hurt,bat,fight
606,reset,wind,redirect,name,aggregate,decipher,redirect
607,dedicate,engrave,inscribe,notify,whip,total,inscribe
608,air,pain,fan,exonerate,punch,suggest,fan
609,restrict,time,force,hone,intrude,confine,confine
610,buff,frown,function,twinkle,polish,make,polish
611,compare,hurt,combat,contrast,murder,deduce,contrast
612,break,split,resound,function,heap,stimulate,split
613,build,compile,crumble,unite,structure,grapple,structure
614,pressure,travel,twist,identify,rub,compile,rub
615,heap,lump,curl,support,inform,arise,lump
616,collect,slam,notify,caress,evidence,stimulate,evidence
617,dig,nose,construe,pine,calculate,whack,nose
618,correct,accumulate,restrain,cut,struggle,edit,edit
619,pine,throw,reason,gesture,want,mingle,want
620,consolidate,smooth,amalgamate,total,disparity,cascade,amalgamate
621,change,edit,intrude,mark,tabulate,imagine,edit
622,fight,time,open,combat,tell,kill,combat
623,reverberate,resonate,stroke,whisk,mingle,limit,resonate
624,fancy,like,mark,arouse,air,break,like
625,gesture,ship,evaluate,equal,wink,attack,wink
626,arrive,nose,reach,arouse,protect,diagnose,reach
627,review,flat,critique,store,concentrate,sound,critique
628,abdicate,cordon,renounce,inquire,tell,differentiate,renounce
629,offshore,export,reject,involve,void,term,export
630,arise,pare,awaken,construe,assess,carry,awaken
631,inscribe,whack,cede,create,date,cut,cut
632,define,term,declare,zone,total,deteriorate,term
633,stop,intrude,immobilize,print,stir,struggle,immobilize
634,come,cordon,wrap,arrive,damage,labor,arrive
635,contrast,inquire,end,compare,deceive,furl,compare
636,sharpen,correspond,poke,hone,buff,whisk,hone
637,reason,deduce,refocus,fade,power,make,deduce
638,raise,redirect,preach,uplift,reveal,obtain,uplift
639,compress,mix,disclose,reference,constrict,throw,constrict
640,color,engrave,criticize,tour,ink,hit,ink
641,alert,live,offshore,end,gather,alarm,alarm
642,dirty,electrify,ruin,document,reverberate,corrupt,corrupt
643,create,picture,calculate,smooth,structure,confine,structure
644,snoop,nose,ascertain,regress,contaminate,whip,nose
645,charge,understand,bill,stroke,include,break,bill
646,confine,pressure,place,enclose,enter,tattoo,enclose
647,occupy,invalidate,duplicate,believe,inhabit,abuse,inhabit
648,buff,modify,ruin,polish,swat,abdicate,polish
649,excuse,group,contend,despoil,ruin,pardon,pardon
650,investigate,hone,rise,nose,stagnate,bind,nose
651,prime,clarify,spin,finish,uplift,arm,arm
652,reproduce,transfer,whisk,occupy,combine,replicate,replicate
653,fuel,stroke,copy,bounce,power,unite,power
654,ship,acquire,bill,contend,export,term,export
655,concentrate,streamline,invalidate,account,reset,deduce,streamline
656,consult,record,be,confer,alarm,hold,confer
657,comprise,notify,tour,consist,divert,lop,consist
658,conclude,swat,battle,write,encroach,diagnose,diagnose
659,reduce,send,trim,reach,chop,combine,trim
660,explain,power,cede,carve,diagnose,twinkle,diagnose
661,refer,discover,ship,compile,confer,allude,allude
662,exploit,time,corrupt,air,deduce,energize,corrupt
663,activate,arm,nose,corrupt,acquire,zone,arm
664,infect,tabulate,reverberate,disallow,murder,contaminate,contaminate
665,be,pressure,create,shorten,consist,mix,consist
666,hit,whack,reset,consolidate,account,bop,bop
667,keep,confine,cuddle,energize,boom,bang,confine
668,allude,bump,rub,damage,evade,echo,evade
669,breathe,squash,total,hit,whisper,reason,whisper
670,conclude,concentrate,frown,reverberate,deduce,open,deduce
671,fragment,kill,show,devolve,swat,spoil,devolve
672,rise,awaken,imagine,spiral,store,bang,awaken
673,spoil,squeeze,contaminate,evade,confine,hop,contaminate
674,offshore,export,foist,electrify,blink,correspond,export
675,gesture,disengage,accumulate,wink,tabulate,inspect,wink
676,equal,inscribe,grapple,amalgamate,iron,touch,amalgamate
677,trade,amass,export,slay,transfer,abdicate,export
678,dance,illustrate,bop,awaken,flash,restrict,bop
679,rush,court,report,overtake,power,whisk,whisk
680,insert,correct,bill,pass,park,swat,park
681,pontificate,expound,emasculate,blend,assess,labor,expound
682,document,ball,rush,lump,certificate,depreciate,certificate
683,clash,fight,insert,calculate,shorten,discredit,fight
684,smooth,yearn,leave,polish,function,record,polish
685,trade,close,grow,fade,build,export,export
686,change,visualize,edit,whisper,terminate,define,edit
687,try,reset,attempt,throw,deduce,share,attempt
688,come,leap,stir,rub,arrive,discover,arrive
689,furl,wrap,reroute,differentiate,deduce,warn,wrap
690,sniff,travel,split,nose,streamline,resound,nose
691,polish,mark,date,spiral,divide,shine,shine
692,diagnose,ascertain,time,pass,keep,arouse,ascertain
693,compare,achieve,flatter,contrast,shine,pontificate,contrast
694,cuddle,visit,offshore,infer,relinquish,park,park
695,clarify,expound,interpret,store,devolve,inspire,interpret
696,identify,polish,ascertain,visualize,diagnose,exonerate,diagnose
697,encourage,twist,desire,despoil,uplift,criticize,uplift
698,expound,intrude,plan,secure,whip,pontificate,pontificate
699,fancy,like,differentiate,associate,refocus,replicate,like
700,breathe,prepare,whisper,term,discredit,write,whisper
701,flatten,iron,devolve,rule,inform,stroke,iron
702,obstruct,alter,alarm,focus,constrict,poke,constrict
703,make,prepare,write,hit,sum,inquire,prepare
704,associate,arouse,name,shape,foist,implicate,implicate
705,offshore,woo,abolish,create,buff,export,export
706,dirty,picture,contaminate,journey,discuss,compress,contaminate
707,understand,construe,dye,visit,reset,accuse,construe
708,inform,disclose,restrain,engrave,grow,consolidate,disclose
709,massage,touch,rub,place,dwell,join,rub
710,come,murder,phrase,arrive,chop,account,arrive
711,see,evidence,tally,expand,wave,wrap,evidence
712,reroute,redirect,flatter,switch,abuse,carve,redirect
713,obliterate,document,lump,kill,ruin,conclude,kill
714,print,awaken,ink,bat,restrain,echo,ink
715,smack,sniff,bop,organize,disconnect,give,bop
716,buff,rub,report,address,consist,assess,rub
717,reset,reproduce,swell,combine,redirect,transfer,redirect
718,invade,enter,weaken,invoice,preach,reproduce,enter
719,place,review,like,fancy,park,define,park
720,correspond,evade,boom,consist,dedicate,assume,consist
721,total,join,tabulate,overwhelm,replicate,consolidate,tabulate
722,color,picture,aggregate,ink,write,refer,ink
723,reverberate,echo,construe,resonate,get,duplicate,resonate
724,picture,color,imagine,relinquish,elevate,acquire,imagine
725,reduce,evaluate,critique,assess,sharpen,trim,trim
726,clarify,compress,end,interpret,alarm,break,interpret
727,intrude,show,carry,murder,labor,invade,invade
728,sniff,nose,arrive,imagine,disconnect,want,nose
729,swat,confer,squash,flatten,leap,sparkle,squash
730,punch,bop,wind,slam,bat,review,bop
731,accomplish,overtake,curl,disallow,dye,achieve,achieve
732,throw,cascade,uproot,print,slam,inscribe,slam
733,come,function,arrive,alarm,refer,forgo,arrive
734,picture,calculate,illustrate,ruin,labor,flirt,illustrate
735,engrave,deduce,limit,squash,inscribe,inspect,inscribe
736,divert,furl,acquire,redirect,undermine,whip,redirect
737,wind,cede,frown,report,fan,snoop,fan
738,air,fan,lecture,shape,disconnect,blow,fan
739,taint,expound,explain,exonerate,discredit,contaminate,contaminate
740,twinkle,ruin,wink,build,accomplish,shine,shine
741,record,pollute,bound,consult,group,document,document
742,lunge,assess,wake,spring,judge,include,spring
743,make,keep,lunge,produce,echo,fuel,produce
744,slap,quarrel,try,blink,swat,tour,swat
745,misuse,crumble,imagine,excite,imprison,abuse,abuse
746,equal,evidence,amalgamate,reside,break,place,amalgamate
747,blink,disparity,cascade,wink,arrive,ascertain,wink
748,rub,arise,charge,sniff,buff,time,buff
749,sum,come,punch,unite,infect,total,total
750,term,protrude,translate,squeeze,finish,undermine,finish
751,confer,enter,pine,rise,think,consult,consult
752,carve,punch,explode,send,inscribe,criticize,inscribe
753,define,term,sign,organize,combine,correspond,term
754,ink,try,replicate,document,discern,dye,dye
755,imply,construe,encourage,stir,imprint,make,construe
756,overtake,include,declare,get,enter,invade,invade
757,arrive,calculate,implicate,work,change,enter,enter
758,arrive,end,expand,reach,dance,lift,reach
759,poke,nose,account,journey,fragment,be,nose
760,squash,swat,stimulate,depreciate,shape,fragment,swat
761,raise,blend,misuse,twist,get,uplift,uplift
762,hurt,abuse,build,inspire,split,prime,abuse
763,impose,crumble,color,stir,shape,foist,foist
764,distinguish,blink,contrast,quarrel,kill,time,contrast
765,correspond,simplify,refine,evaluate,consist,bop,consist
766,squash,swat,be,inscribe,settle,frown,swat
767,blink,sign,wink,comprise,smooth,dye,wink
768,dedicate,disallow,travel,prime,contaminate,inscribe,inscribe
769,define,evidence,close,term,form,compile,term
770,quarrel,sweep,heap,disparity,believe,fight,fight
771,edit,send,inquire,address,correct,oppose,correct
772,press,iron,encroach,corrupt,foist,divide,iron
773,total,add,sum,certificate,centralize,alarm,sum
774,determine,void,group,spread,think,diagnose,diagnose
775,compare,switch,discuss,imprison,share,contrast,contrast
776,evade,get,understand,allude,fade,twinkle,allude
777,deduce,conclude,sharpen,crumble,mingle,amalgamate,conclude
778,touch,spoil,keep,allude,crumble,equal,allude
779,emasculate,secure,weaken,dwell,reason,total,weaken
780,elevate,toil,offshore,spiral,hone,uplift,uplift
781,imprint,decipher,inscribe,trim,lunge,allude,inscribe
782,close,show,throw,shape,constrict,name,constrict
783,worsen,murder,deteriorate,attack,land,fortify,deteriorate
784,deceive,solve,breathe,infer,foist,labor,foist
785,cut,mistreat,elevate,immobilize,sparkle,inscribe,inscribe
786,trim,demoralize,rule,shorten,nose,identify,shorten
787,enclose,aggregate,confine,ask,void,mingle,confine
788,slay,uproot,amalgamate,kill,gather,roll,kill
789,end,jump,squash,kill,bind,protect,kill
790,deceive,prepare,foist,allude,blast,poke,foist
791,sign,lump,stop,invalidate,ink,assume,ink
792,stun,awaken,fuel,desire,switch,immobilize,immobilize
793,quarrel,flash,decay,hone,fight,get,fight
794,streamline,engrave,accomplish,centralize,rub,criticize,centralize
795,invalidate,reject,infect,curl,construe,rustle,reject
796,ruin,mistreat,settle,blend,contrast,contaminate,contaminate
797,divert,redirect,worsen,heap,group,combat,redirect
798,zone,equal,shape,warn,blend,separate,separate
799,grapple,trade,enclose,obtain,prove,fight,fight
800,blow,reveal,emasculate,undermine,limit,fan,fan
801,carve,come,color,inscribe,open,compress,inscribe
802,shorten,think,invalidate,trim,collect,carve,trim
803,build,intoxicate,structure,implicate,end,offshore,structure
804,wrap,split,grapple,travel,force,furl,furl
805,be,assume,mistreat,roll,consist,imprint,consist
806,study,glob,critique,correct,identify,amass,critique
807,comment,lump,critique,ascertain,study,pass,critique
808,admire,insert,fancy,evaluate,whet,polish,fancy
809,restrict,awaken,finish,zone,split,hone,zone
810,curl,sharpen,separate,fragment,split,furl,furl
811,give,rise,confer,overwhelm,arrange,sniff,confer
812,consist,hurt,mark,misuse,reveal,be,be
813,inform,disclose,enclose,decay,grapple,blow,disclose
814,rustle,adverse,whisper,forgive,wink,smooth,whisper
815,contend,adverse,fight,print,group,reason,fight
816,open,reverberate,stroke,replicate,aggregate,focus,aggregate
817,long,concentrate,crumble,fancy,translate,pine,pine
818,fuel,protect,power,term,dirty,hop,power
819,make,consist,reduce,forgive,overwhelm,prepare,prepare
820,lump,long,modify,involve,heap,enter,heap
821,support,furl,simplify,gather,abdicate,uplift,uplift
822,warn,deflect,alert,engrave,hone,shape,alert
823,show,inscribe,evidence,structure,assemble,demoralize,evidence
824,streamline,disparity,add,excuse,encourage,simplify,simplify
825,blink,think,reveal,reroute,wink,inhabit,wink
826,formulate,yearn,undermine,structure,alert,hurt,structure
827,rule,abolish,power,disprove,pontificate,slap,pontificate
828,deceive,switch,power,prove,flirt,foist,foist
829,zone,cordon,pare,beat,invade,lecture,cordon
830,wink,lunge,fortify,blink,ink,pontificate,blink
831,function,tighten,power,obtain,formulate,obliterate,power
832,abolish,differentiate,reset,makeup,create,invalidate,invalidate
833,invoice,wink,pine,chop,bill,try,bill
834,calculate,emasculate,smooth,discuss,cede,tabulate,tabulate
835,record,deceive,evade,tabulate,transfer,achieve,tabulate
836,slam,distinguish,toil,hit,name,forgo,hit
837,resonate,accumulate,poke,reverberate,support,admire,reverberate
838,void,buff,zone,invalidate,activate,collect,invalidate
839,fuel,pass,rewrite,clarify,power,investigate,power
840,hit,bump,throw,abuse,offshore,slam,slam
841,sniff,blink,whisper,see,nose,throw,nose
842,frown,contaminate,furl,slap,polish,lift,furl
843,park,define,encroach,end,desire,place,place
844,grapple,uproot,refocus,sound,fight,battle,fight
845,consolidate,invoice,forgive,insert,explain,amalgamate,amalgamate
846,believe,fancy,void,spoil,heap,excite,fancy
847,blink,excuse,protrude,evade,wink,clarify,wink
848,think,overwhelm,pontificate,imprison,combat,emasculate,pontificate
849,fan,clash,murder,wind,review,fragment,wind
850,spiral,crumble,compare,twist,hit,split,twist
851,refine,address,echo,polish,reroute,stir,polish
852,join,consist,offshore,wrap,correspond,amalgamate,amalgamate
853,visualize,picture,certificate,formulate,devolve,whisk,picture
854,prepare,bang,gesture,make,secure,offshore,make
855,evade,allude,resonate,identify,inspect,picture,allude
856,forgive,pardon,limit,determine,poison,reproduce,pardon
857,dedicate,inscribe,power,notify,obtain,slam,inscribe
858,suggest,glob,acquire,divide,implicate,smooth,implicate
859,pressure,disprove,collect,rub,arrive,calculate,rub
860,snoop,imprint,nose,spiral,determine,bill,nose
861,nose,rise,lecture,think,hop,poke,poke
862,hop,disparity,exonerate,spring,equal,bulge,spring
863,fragment,pass,excite,brawl,devolve,support,devolve
864,study,construe,reverberate,explode,join,critique,critique
865,compile,constrict,energize,total,aggregate,cuddle,aggregate
866,show,evidence,deduce,be,implicate,furl,evidence
867,battle,bulge,cascade,fight,inspect,pass,fight
868,raise,flirt,rise,arouse,uplift,uproot,uplift
869,achieve,obtain,engrave,bump,slay,finish,obtain
870,rush,wink,infect,print,furl,whisk,whisk
871,inspire,criticize,swat,uplift,color,deflect,uplift
872,judge,assume,infect,critique,heap,warn,critique
873,focus,see,stir,reach,come,zone,zone
874,reveal,disclose,reason,mark,prime,consist,disclose
875,bounce,bop,sniff,consolidate,enter,despoil,bop
876,echo,mix,terminate,resonate,resound,imply,resonate
877,sound,long,whisk,murmur,uproot,resonate,resonate
878,bill,terminate,account,correspond,certificate,pain,account
879,bulge,keep,arm,protrude,cut,void,protrude
880,ship,intrude,export,zone,combat,tattoo,export
881,get,achieve,emasculate,arouse,infect,pass,achieve
882,uproot,mingle,engrave,form,flap,foist,foist
883,stun,accuse,discern,see,consist,immobilize,immobilize
884,ask,despoil,arise,confer,murder,place,confer
885,attempt,spoil,transfer,reset,live,try,try
886,sign,reject,preach,ink,illustrate,contend,ink
887,lump,ball,court,concentrate,stir,translate,ball
888,review,discover,export,excite,critique,wrap,critique
889,formulate,structure,pare,preach,discern,determine,structure
890,think,depreciate,reveal,critique,ship,pontificate,pontificate
891,ruin,sum,slam,spiral,contaminate,bat,contaminate
892,disparity,switch,name,imply,contrast,modify,contrast
893,crumble,reach,deteriorate,name,flatter,inquire,deteriorate
894,illustrate,quarrel,report,involve,function,picture,picture
895,whack,spiral,swat,intrude,determine,whisk,swat
896,aggregate,amalgamate,crumble,evaluate,disconnect,abolish,amalgamate
897,stagnate,labor,demoralize,murmur,ask,immobilize,immobilize
898,categorize,bang,finish,lop,change,zone,zone
899,group,excuse,aggregate,evaluate,zone,toil,aggregate
900,pain,associate,forgo,rise,toil,focus,toil
901,restrict,proof,get,leap,zone,flatten,zone
902,trade,end,simplify,export,stagnate,sweep,export
903,frown,pollute,furl,reason,bump,fan,furl
904,court,shape,infect,transfer,woo,prove,woo
905,restrain,settle,constrict,reduce,reason,prepare,constrict
906,hop,spring,accumulate,carry,divert,stir,spring
907,reset,settle,paste,redirect,reason,identify,redirect
908,disclose,mix,share,cordon,cut,corrupt,share
909,dye,refine,damage,restrain,ink,reset,ink
910,inscribe,leap,smack,sweep,furl,write,write
911,makeup,be,consist,flat,engrave,account,consist
912,evaluate,tighten,settle,build,critique,whisper,critique
913,attempt,suggest,nose,try,dance,deduce,try
914,implicate,mark,assume,swat,resound,decay,assume
915,reroute,inform,trade,redirect,grow,investigate,redirect
916,visualize,picture,disprove,phrase,wave,flirt,picture
917,tally,hop,spread,ruin,tabulate,keep,tabulate
918,evaluate,critique,hit,imagine,battle,comprise,critique
919,imprint,critique,flirt,wind,inscribe,total,inscribe
920,breathe,lump,disparity,whisper,secure,slay,whisper
921,ascertain,spiral,massage,diagnose,unite,phrase,diagnose
922,streamline,shorten,spin,switch,curl,concentrate,concentrate
923,smooth,imprint,deteriorate,polish,study,inspect,polish
924,shape,store,hone,involve,reproduce,reroute,hone
925,stun,squash,aggregate,encourage,correct,immobilize,immobilize
926,stop,reroute,travel,damage,park,awaken,park
927,flirt,prove,carve,keep,accumulate,court,court
928,inscribe,cut,tattoo,blend,wrap,ask,cut
929,discover,ship,comment,dye,cuddle,deduce,deduce
930,breathe,echo,settle,amass,whisper,attack,whisper
931,dirty,focus,spoil,alarm,pardon,contaminate,contaminate
932,offshore,flatter,export,blend,slay,swat,export
933,decay,divert,reproduce,fancy,rise,deteriorate,deteriorate
934,hurt,decay,keep,abuse,contaminate,discern,abuse
935,weaken,fight,excite,compile,deduce,emasculate,emasculate
936,change,assume,brawl,edit,involve,renounce,edit
937,confine,spin,distinguish,record,enclose,expound,enclose
938,disprove,squash,hurt,stroke,hop,invalidate,invalidate
939,limit,involve,secure,unite,buff,zone,zone
940,inform,slap,taint,brawl,notify,disclose,disclose
941,glob,smack,sharpen,determine,sound,lop,lop
942,clash,sweep,see,fight,taint,alarm,fight
943,reject,bulge,gather,determine,invalidate,keep,invalidate
944,reason,frame,deduce,concentrate,resonate,yearn,deduce
945,activate,break,tabulate,suggest,deceive,arm,arm
946,polish,buff,long,carve,admire,journey,buff
947,power,stun,buff,deduce,overwhelm,cuddle,overwhelm
948,slam,bang,void,elevate,arise,force,bang
949,acquire,ruin,export,cut,hone,evade,hone
950,time,prove,decay,term,poke,succeed,term
951,dirty,corrupt,lop,furl,inspect,ship,corrupt
952,secure,proof,conquer,obstruct,try,arm,arm
953,rise,taint,uplift,fan,wind,mistreat,uplift
954,labor,alter,refocus,toil,rustle,centralize,toil
955,assess,journey,critique,switch,limit,reach,critique
956,solve,lecture,bulge,renounce,color,diagnose,diagnose
957,conclude,ball,grapple,sum,court,ship,sum
958,buff,disallow,reach,carve,rub,deflect,rub
959,decipher,interpret,intrude,rise,touch,confer,interpret
960,simplify,obtain,split,spoil,hop,streamline,streamline
961,reverberate,resonate,disallow,obtain,mix,murmur,resonate
962,address,reproduce,poke,pontificate,date,build,pontificate
963,gather,fan,aggregate,certificate,disparity,corrupt,aggregate
964,duplicate,fade,copy,amass,replicate,fortify,replicate
965,whisper,evidence,pardon,tell,murmur,involve,murmur
966,carve,inscribe,paste,reach,emasculate,discuss,inscribe
967,overtake,certificate,fan,form,spread,invade,invade
968,confer,decay,touch,ask,squeeze,throw,ask
969,write,declare,combine,switch,suggest,inscribe,inscribe
970,restrain,report,constrict,battle,try,involve,constrict
971,finish,mingle,sign,term,lift,modify,term
972,reside,solve,copy,invoice,inhabit,succeed,inhabit
973,misuse,desire,attempt,lop,mix,abuse,abuse
974,tell,blow,disconnect,unite,inspire,disclose,disclose
975,punch,end,fuel,bop,air,mix,bop
976,arrive,blend,consult,trade,disengage,arrive,arrive
977,wake,awaken,flatter,judge,activate,proof,awaken
978,succeed,pontificate,iron,encourage,achieve,absolve,achieve
979,abdicate,record,disengage,allude,sparkle,make,disengage
980,dedicate,work,punch,correct,swell,inscribe,inscribe
981,imagine,murder,ship,protect,sniff,fancy,fancy
982,tighten,obtain,constrict,travel,arrange,accuse,constrict
983,redirect,energize,correct,pare,switch,concentrate,switch
984,resound,resonate,forgive,amass,pressure,tell,resonate
985,want,punch,pine,absolve,tell,power,pine
986,refer,allude,exploit,calculate,whisper,cascade,allude
987,demoralize,accumulate,labor,travel,form,corrupt,corrupt
988,emasculate,print,paste,assess,smack,castrate,castrate
989,formulate,invoice,structure,construe,bounce,dedicate,structure
990,visualize,picture,whet,encourage,despoil,accuse,picture
991,activate,reach,intoxicate,explain,deflect,arm,arm
992,corrupt,stir,twinkle,makeup,demoralize,resonate,demoralize
993,visualize,breathe,arm,limit,picture,correct,picture
994,obstruct,reside,confine,investigate,refocus,constrict,constrict
995,consolidate,inform,attack,amalgamate,inscribe,poke,amalgamate
996,aggregate,paste,accumulate,rise,bulge,bop,accumulate
997,toil,intoxicate,sign,pain,enter,implicate,pain
998,arm,function,invalidate,make,reroute,activate,activate
999,arm,oppose,certificate,formulate,protect,get,protect
